Date,Time,Temperature(C),Humidity(%),GPOA(W/M2),EDS/CTRL(#),Voc_Before(V),Voc_After(V),Isc_Before(A),Isc_After(A),Pout_Before(W),Pout_After(W),PR_Before,PR_After,SI_Before,SI_After
3/28/2021,22:35:0,Error,Error,-1,CTRL-PV1,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,22:35:13,Error,Error,-1,CTRL-PV2,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,22:54:38,Error,Error,-1,EDS-PV1,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,22:54:52,Error,Error,-1,EDS-PV2,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,22:58:13,Error,Error,-1,CTRL-PV1,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,22:58:27,Error,Error,-1,CTRL-PV2,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,22:58:56,Error,Error,-1,EDS-PV1,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,22:59:9,Error,Error,-1,EDS-PV2,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,22:59:22,Error,Error,-1,EDS-PV3,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,22:59:35,Error,Error,-1,EDS-PV4,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,22:59:49,Error,Error,-1,EDS-PV5,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,23:0:16,Error,Error,-1,CTRL-PV1,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,23:0:30,Error,Error,-1,CTRL-PV2,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,23:0:43,Error,Error,-1,EDS-PV1,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,23:0:56,Error,Error,-1,EDS-PV2,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,23:1:10,Error,Error,-1,EDS-PV3,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,23:1:23,Error,Error,-1,EDS-PV4,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,23:1:36,Error,Error,-1,EDS-PV5,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,23:2:4,Error,Error,-1,CTRL-PV1,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,23:2:17,Error,Error,-1,CTRL-PV2,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,23:2:30,Error,Error,-1,EDS-PV1,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,23:2:44,Error,Error,-1,EDS-PV2,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
3/28/2021,23:2:57,Error,Error,-1,EDS-PV3,0.0,N/A,0.0,N/A,0.0,N/A,0.75,N/A,0.0,N/A
