Date,Time,Temperature(C),Humidity(%),GPOA(W/M2),EDS/CTRL(#),Voc_Before(V),Voc_After(V),Isc_Before(A),Isc_After(A),Pout_Before(W),Pout_After(W),PR_Before,PR_After,SI_Before,SI_After
9/26/2020,12:0:13,22.22,49.4,0.6,CTRL-PV1,0.55,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,12:0:13,22.22,49.4,0.6,CTRL-PV2,0.43,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,12:0:13,22.22,49.4,0.6,EDS-PV1,0.8,N/A,0.03,N/A,0.02,N/A,2.78,N/A,73.53,N/A
9/26/2020,12:0:13,22.22,49.4,0.6,EDS-PV2,0.49,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,12:0:13,22.22,49.4,0.6,EDS-PV3,0.49,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,12:0:13,22.22,49.4,0.598,EDS-PV4,0.62,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.78,N/A
9/26/2020,12:0:13,22.22,49.4,0.6,EDS-PV5,0.43,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,12:0:13,20.12,55.7,0.6,CTRL-PV1,0.55,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,12:0:13,20.12,55.7,0.6,CTRL-PV2,0.43,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,12:0:13,20.12,55.7,0.6,EDS-PV1,0.86,N/A,0.03,N/A,0.02,N/A,2.78,N/A,73.53,N/A
9/26/2020,12:0:13,20.12,55.7,0.6,EDS-PV2,0.49,N/A,0.04,N/A,0.01,N/A,1.39,N/A,98.04,N/A
9/26/2020,12:0:13,20.12,55.7,0.6,EDS-PV3,0.55,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,12:0:13,20.12,55.7,0.6,EDS-PV4,0.68,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,12:0:13,20.12,55.7,0.6,EDS-PV5,0.43,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,12:0:13,20.12,55.8,0.6,CTRL-PV1,0.55,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,12:0:13,20.12,55.8,0.6,CTRL-PV2,0.43,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,13:0:2,20.12,55.8,0.6,EDS-PV2,0.49,0.55,0.03,0.03,0.01,0.01,1.39,1.39,73.53,73.53
9/26/2020,13:0:2,20.12,55.8,0.6,CTRL-PV1,0.55,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,13:0:2,20.12,55.8,0.6,CTRL-PV2,0.37,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,13:0:22,20.02,55.6,0.6,EDS-PV2,0.49,0.49,0.03,0.03,0.01,0.01,1.39,1.39,73.53,73.53
9/26/2020,13:0:40,20.02,55.6,0.6,CTRL-PV1,0.62,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,13:0:54,20.02,55.6,0.6,CTRL-PV2,0.43,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,13:0:20,20.02,55.6,0.6,EDS-PV2,0.49,0.49,0.03,0.03,0.01,0.01,1.39,1.39,73.53,73.53
9/26/2020,13:0:39,20.02,55.6,0.6,CTRL-PV1,0.55,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/26/2020,13:0:53,20.02,55.6,0.6,CTRL-PV2,0.37,N/A,0.03,N/A,0.01,N/A,1.39,N/A,73.53,N/A
9/27/2020,10:0:4,20.84,57.6,16.027,EDS-PV4,17.98,17.86,0.04,0.04,0.7,0.7,3.64,3.64,3.67,3.67
9/27/2020,10:2:22,20.79,57.6,14.509,CTRL-PV1,16.87,N/A,0.02,N/A,0.33,N/A,1.9,N/A,2.03,N/A
9/27/2020,10:2:36,20.78,57.6,14.319,CTRL-PV2,17.36,N/A,0.04,N/A,0.68,N/A,3.96,N/A,4.11,N/A
9/27/2020,11:0:3,20.85,57.5,13.418,EDS-PV5,17.36,17.73,0.04,0.04,0.68,0.69,4.22,4.29,4.38,4.38
9/27/2020,11:2:22,21.03,57.5,18.685,CTRL-PV1,17.55,N/A,0.04,N/A,0.68,N/A,3.03,N/A,3.15,N/A
9/27/2020,11:2:36,21.07,57.5,19.983,CTRL-PV2,17.79,N/A,0.05,N/A,0.87,N/A,3.63,N/A,3.68,N/A
9/27/2020,11:41:0,25.06,51.9,87.595,EDS-PV1,19.33,19.15,0.06,0.05,1.13,0.93,1.08,0.88,1.01,0.84
9/27/2020,11:43:19,24.43,51.9,69.03,CTRL-PV1,19.33,N/A,0.06,N/A,1.13,N/A,1.36,N/A,1.28,N/A
